date,lender,amount,borrower,industry,structure,description,location
1/5/2024,"MUFG [Coordinating Lead Arranger, Administrative Agent]
TD Securities [Coordinating Lead Arranger]
ING Capital [Coordinating Lead Arranger]
Santander Bank [Coordinating Lead Arranger]
Scotia Bank [Coordinating Lead Arranger]",$1.9 B,EdgeCore Digital Infrastructure,Technology,Debt Financing,"Debt financing transaction to fund scalable development on its data center campus in Mesa, Arizona. The debt financing is comprised of a limited-recourse senior secured term loan, a revolving senior secured letter of credit facility, and an accordion feature that will fund future development.",CO
1/5/2024,Gateway Commercial Finance [Factor],$0.8 MM,Undislcosed,Distribution,Debtor-in-Possession Factoring Facility,$800K post-petition factoring facility,
1/8/2024,"Wells Fargo Bank [Administrative Agent]
Regions Bank [Joint Lead Arranger, Joint Bookrunner]
BMO Bank [Joint Lead Arranger, Joint Bookrunner]",$245.0 MM,eCapital Corp.,Lender Finance,$245MM Credit Facility Increase,"A $245 million increase to the syndicated bank line supporting its asset-based lending (ABL) group. The upsize brings the total facility size to $815 million. The latest increase follows a $110 million line upsizing completed less than six months earlier. With this latest increase, eCapital’s total bank facility commitments across its three syndicated bank lines now exceeds $1.6 billion.",FL
1/9/2024,"Rosenthal & Rosenthal, Inc. [Lender]",$25.0 MM,Undisclosed,Apparel,Loan Facility,"Rosenthal provided a $25 million loan on more than $100 million in factoring volume and was able to offer credit protection not only on the key customer, but also higher credit limits on several other customers.",CA
1/9/2024,Clarus Capital [Lender],$20.0 MM,Undisclosed,Technology,Loan Facility,Loan facility for a sponsor-backed IT service provider. The funding will support investments in critical data center equipment to expand capacity and refresh existing technology as part of the company’s ongoing strategic upgrade initiative.,
1/9/2024,Great Rock Capital [Lender],$46.3 MM,Undisclosed,Rental,Senior Secured Term Loan,The term loan will provide growth capital and financial flexibility for the company as they increase the size and diversity of their rental fleet to capitalize on the demand for their services.,
1/9/2024,Avenue Venture Opportunities Fund [Lender],$50.0 MM,Abeona Therapeutics Inc.,Biopharmaceuticals,Credit Facility,"The credit agreement, which has a term of three and a half years, includes a first tranche of $20 million at closing, a second tranche of $10 million of committed capital, and an additional accordion option to upsize the credit facility by an additional $20 million upon satisfaction of certain terms and conditions.",OH
1/10/2024,Texas Capital Bank [Lender],$30.0 MM,Quasar Capital Partners,Lender Finance,Senior Lending Facility with $10MM Accordion,A new senior $30 million lending facility and an accordion feature to $40 million with Texas Capital to further expand its funding capabilities.,TX
1/10/2024,Iron Horse Credit [Lender],$1.5 MM,Undisclosed,Retail,Inventory Line of Credit,"A $1,500,000 stand-alone inventory revolving line of credit",
1/11/2024,White Oak Commercial Finance [Lender],$25.0 MM,Undisclosed,Apparel,Senior Secured Credit Facility,"A $25 million Senior Secured Facility to a leading cold weather apparel supplier, engaged in the production and distribution of snow pants, jackets, base layers, and accessories.",
1/11/2024,"Rosenthal & Rosenthal, Inc. [Lender]",$3.0 MM,Undisclosed,Apparel,Asset-Based Credit Facility,A $3 million asset based lending facility against receivables and inventory to support the working capital needs of the business as they expanded.,NY
1/11/2024,Garrington Capital [Lender],$1.2 MM,Undisclosed,Manufacturing,Senior Secured Term Loan,A $1.2 million senior secured term loan to the U.S. subsidiary of a multi-national manufacturer of spare parts for heavy-duty commercial vehicles. The loan helped the borrower complete the build-out of new warehouses in the Atlanta and Los Angeles areas.,
1/12/2024,"Rosenthal & Rosenthal, Inc. [Lender]",$5.0 MM,Undisclosed,Paper,Asset-Based Credit Facility,A $5 million asset based lending facility against receivables and inventory to support the client’s working capital needs.,FL
1/12/2024,Carlyle [Lender],$100.0 MM,DecisionRx,Medical,Credit Facility,"As part of the transaction, Carlyle receives the option to acquire 25% of the outstanding equity of DecisionRx.",
1/12/2024,Castlelake L.P. [Lender],$180.0 MM,Vervent,Lender Finance,Financing Facility,"A new forward flow agreement whereby certain Castlelake funds and affiliates will provide up to $180 million to Vervent and its affiliates. Under the terms of the agreement, affiliates of Vervent will use the funds to finance origination for its Revvi, Total Card and First Access unsecured credit card programs.",
1/12/2024,TAB Bank [Lender],$5.0 MM,Undisclosed,Printing,Credit Facility,TAB Bank provided two printing companies based in Ohio with a $5 million credit facility. The facility consists of a $4 million revolver and a $1 million term loan. The new facility is extended through a multi-year agreement and will provide for the companies’ ongoing working capital needs.,
1/12/2024,"White Oak Commercial Finance [Factor, Factor]",$10.0 MM,Undisclosed,Technology,Senior Factoring Facility,The facility will be used for working capital to help the company expand on the heels of its own successful equity raise.,
1/12/2024,eCapital [Lender],$16.0 MM,Undisclosed,Apparel,Asset-Based Loan,Company increased its asset-based loan from $12MM to $16MM. This increased facility provided the company with the funds needed to support and grow its business.,NY
1/15/2024,Macquarie Group [Lender],$200.0 MM,Momnt and Saluda Grade,FinTech,Revolving Asset-Backed Warehouse Facility,"The facility provides the Momnt / Saluda Grade joint venture with the additional capacity to purchase Momnt-facilitated home improvement loans, allowing the joint venture to provide U.S. homeowners with improved access to home renovation financing and to continue its success in broadening institutional support of the asset class via securitization.",
1/16/2024,Huntington Business Credit [Lender],$20.0 MM,Energy Alloys Global Solutions Americas,Energy,Credit Facility,Proceeds of the facility were used to repay existing debt and provide ongoing working capital financing.,TX
1/16/2024,Silver Point Financial LLC [Lender],$265.0 MM,TETRA Technologies,Technology,$190MM Term Loan; $75MM Delayed-Draw Term Loan,"A $265 million credit facility with a maturity of January 2030, consisting of a $190 million funded term loan and a $75 million delayed-draw term loan that will refinance TETRA's existing term loan of $163 million and provide capital to advance TETRA's Arkansas bromine processing project. Pricing on the new credit facility is SOFR (Secured Overnight Financing Rate) +575 basis points, which is 50 basis points below TETRA's existing term loan, reflecting TETRA's strong financial position. The new credit facility closed and funded on January 12, 2024. TETRA used the proceeds to repay in full the $163 million balance of its prior credit facility, that was due September 2025, with approximately $15 million of additional cash added to the balance sheet, net of transaction expenses.",TX
1/16/2024,iCapital Options [Lender],$9.7 MM,Undisclosed,Real Estate,CRE Bridge Loan,"bridge loan to facilitate the refinancing of a portfolio comprising three commercial properties located in Nashville, Tennessee encompassing a hotel, restaurant and two office buildings. The loan terms feature a competitive 9.5% interest rate and 2 points over a 48-month term, with a loan-to-value ratio of 80%. An exception was made for the higher loan-to-value ratio considering a prior relationship one of our firm's principals had with the Borrower, underlining our confidence in their ability to deliver.",TN
1/16/2024,"Culain Capital Funding [Purchase Order Finance Lender, Factor]",$0.3 MM,Undisclosed,Food Production - Processing,Purchase Order Finance and Factoring Facility,Transaction details not disclosed.,
1/16/2024,Austin Financial Services [Lender],$15.0 MM,Undisclosed,Food Production - Processing,Asset-Based Credit Facility - AR & Inventory Revolver,Proceeds from the loan were used to refinance the bank and will provide ongoing working capital support to meet the Company’s growth forecasts.,
1/17/2024,eCapital [Lender],$12.0 MM,Undisclosed,Manufacturing,Asset-Based Credit Facility,"Company faced difficulties in meeting the covenants of their existing bank loan, which ultimately led to the termination of their credit line and new loan.",
1/17/2024,"J.P. Morgan Bank [Lender]
Mitsubishi UFJ Financial Group [Lender]
Lombard Odier [Lender]",$241.0 MM,Aspen Power,Energy,Credit Facilities and Construction to Term Loan Facility,"Three financings totaling $241 million with J.P. Morgan, Lombard Odier, and Mitsubishi UFJ Financial Group, Inc. (MUFG). The expanded credit facilities with J.P. Morgan and Lombard Odier, as well as a new construction-to-term facility with MUFG, are expected to promote Aspen Power’s continued strategic growth and support the timely and efficient construction of new solar energy projects. The $124 million construction-to-term facility with MUFG will directly support the construction of new solar assets across multiple states and revenue structures.",
1/17/2024,Victory Park Capital [Lender],$225.0 MM,Zip Co Limited,Business Services,Refinance Facility,"The new debt facility represents an extension of their long-standing relationship. The two companies began their partnership in 2015 with a A$108 million asset-backed warehouse facility that later grew to A$200 million. In 2020, VPC and Zip closed a A$100 million debt facility to fund receivables and support the Zip Business platform.",
1/17/2024,Gibraltar Business Capital [Lender],$189.0 MM,American Nuts,Food Production - Processing,Senior Secured Credit Facility,"GBC provided a facility that included advances against accounts receivable, inventory, and equipment and a term loan to provide additional capital for the company to achieve its goals.",CA
1/17/2024,Iron Horse Credit [Lender],$4.0 MM,Undisclosed,Manufacturing,Inventory Line of Credit,Stand-alone inventory revolving line of credit. Transaction details not disclosed.,
1/17/2024,"Coinbase Credit, Inc. [Lender]",$65.0 MM,Hut 8 Corp.,Cryptocurrency,"Amended, Restated Credit Facility","An additional loan in the amount of US$15M (the “New Loan”) to the Borrower, increasing the aggregate principal amount of the loans under the Credit Facility to US$65 million. The New Loan is expected to be used for general corporate purposes and funded at or shortly following closing. All amounts borrowed under the Credit Facility will bear interest at a rate equal to (a) the greater of (i) the federal funds rate on the date of the applicable borrowing, and (ii) 3.25%, plus (b) 5.0%. The Credit Facility matures 364 days after the date of the first borrowing. The obligations under the Credit Facility are secured by the Borrower’s interest in certain Bitcoin held in the custody of Coinbase Custody Trust Company, LLC and are guaranteed by the Company.",FL
1/18/2024,Amerisource Business Capital [Lender],$10.0 MM,Undisclosed,Energy Services,Acquisition & Working Capital Facility,Proceeds were used to enable the Company to strategically acquire a competitor to enhance its growth throughout Texas and Oklahoma.,TX
1/18/2024,Ares Commercial Finance [Lender],$25.0 MM,Undisclosed,Distribution,Senior Secured Revolving Line of Credit,The proceeds via this transaction will be used to support the Company’s working capital needs and refinance a portion of the company’s existing debt.,
1/19/2024,PNC Bank [Lender],$320.0 MM,Peabody,Energy,Senior Secured Revolving Credit Facility,"A new $320 million senior secured revolving credit facility maturing in January 2028, subject to certain conditions relating to the company's outstanding Convertible Senior Notes due March 1, 2028. Revolving loans under the facility bear interest at a rate of SOFR plus an applicable margin ranging from 3.50% to 4.25%, depending on the company's total net leverage ratio. At Peabody's current total net leverage ratio, the margin would be 3.50%. Letters of credit under the facility are subject to a fee equal to the applicable margin. The facility will be guaranteed by certain of Peabody's subsidiaries.",MO
1/19/2024,First Business Bank [Factor],$5.0 MM,Undisclosed,Transportation,Ledgered Line Factoring Facility,A $5 million ledgered line Factoring facility to a client operating as a carrier in the transportation sector. The facility includes an additional $5 million accordion piece for future growth.,
1/22/2024,Zions Bancorporation [Lender],$7.0 MM,Undisclosed,Food Production - Processing,$4MM Multi-Year Revolving Line of Credit; $3.0MM Term Loan,"Vectra Bank, closed and funded two loan facilities totaling $7,068,600 for a vertically integrated co-pack manufacturer of fire-roasted green chilis, jarred salsa and other southwestern foods. The two separate credit facilities consisted of a $4,000,000 multi-year revolving line of credit and a $3,068,600 term loan.",
1/22/2024,"KKR Capital Markets [Lead Arranger, Sole Bookrunner]",$300.0 MM,Weber LLC,Consumer Products,Non-Recourse Accounts Receivable Facility,"The initial $200 million facility is collateralized by certain accounts receivables of Weber in the U.S. and international markets, with subsequent closes of up to $100 million across European markets expected in the first half of 2024.",
1/22/2024,"Ares Management, L.P. [Lender]",$350.0 MM,Artivion,Medical,$190MM Term Loan; $60MM Revolver; $100MM Unfunded Delayed Draw Term Loan,"A comprehensive, non- dilutive definitive credit agreement with Ares Management Credit funds for $350 million of senior secured, interest-only, credit facilities with 6-year maturities. The credit facilities include an initial $190 million term loan, a $60 million revolving credit facility, and an additional $100 million in unfunded delayed draw term loan commitments that may be drawn to refinance the Company's convertible bonds at any time on or prior to the maturity of the convertible bonds, subject to customary conditions. The initial $190 million term loan and $30 million from the revolving credit facility were drawn at close to retire the Company's existing senior secured credit facilities and pay related fees and expenses. The option to draw the additional $100 million of term loans provides the Company with a financing source to efficiently address the maturity date of the convertible bonds at any time at or prior to maturity.",GA
1/23/2024,Axos Bank [Lender],$150.0 MM,Babcock & Wilcox,Energy Services,Senior Secured Asset-Based Loan,"A new three-year senior secured credit agreement with Axos Bank under which Axos has provided an asset-based revolving credit facility of up to $150 million that can be used to support letters of credit, renewable energy growth initiatives and potential accretive business purposes. The new revolver provides for reduced interest rates on letters of credit and much greater flexibility, with overall use of up to $150 million, versus the previous facilities that were limited to a $50 million revolver and a separate letters of credit facility. The new Financing Agreements have a maturity date of January 18, 2027.

All obligations under the Company’s prior Credit Agreement with PNC Bank as administrative agent have been discharged, and the Credit Agreement has been terminated. Letters of credit issued under the previous facility with PNC are expected to transition to the Axos facility over the next several months. The Company expects to achieve annual interest cost savings of approximately $4 million under its new facility.",OH
1/23/2024,BHI [Lender],$75.0 MM,"Ormat Technologies, Inc.",Energy,Term Loan,"Ormat will use the proceeds for general corporate purposes, including the January 4th 2024 acquisition whereby Ormat purchased the U.S. geothermal portfolio of Italian power & gas giant, Enel Group for $271 million.",NV
1/24/2024,"Hercules Capital, Inc. [Lender]",$65.0 MM,Sight Sciences,Medical,Senior Secured Credit Facility,"The transaction included the immediate draw of $35 million, the net proceeds of which the Company used to pay off the principal amount of the Company’s indebtedness to its previous secured lender.",CA
1/24/2024,Zions Bank [Lender],$50.0 MM,Undisclosed,Energy Services,Multi-year Revolving Line of Credit,The credit facility consisted of a multi-year revolving line of credit.,
1/24/2024,Garrington Capital [Lender],$8.3 MM,Undisclosed,Trucking,Senior Secured Term Loan,The proceeds of the Loan were used to refinance existing debt and to provide additional working capital.,
1/24/2024,"Citi [Lender]
Ares Management Corporation [Lender]",$310.0 MM,Sunbit,Lender Finance,Debt Warehouse Facility,Transaction details not disclosed.,CA
1/24/2024,Amegy Bank National Association [Lender],$12.0 MM,Undisclosed,Distribution,$10MM Revolving Line of Credit; $2MM Term Loan,Proceeds of the revolving line of credit facility were used to provide for ongoing working capital needs. The term loan proceeds will enable the company to make improvements to its property.,TX
1/24/2024,Aequum Capital [Lender],$7.1 MM,Undisclosed,Transportation,Working Capital Revolver; Cash Flow Term Loan; Delayed Draw Term Loan,"Credit facilities to support Kepler Capital's acquisition of a dominant regional heavy-duty commercial vehicle towing company. The credit facilities included a working capital revolver, cash flow based term loan, and delayed draw term loan to support future growth.",
1/24/2024,Culain Capital Funding [Factor],$3.0 MM,Undisclosed,Specialty Industries,Factoring Facility,Transaction details not disclosed.,NY
1/25/2024,"Mitsubishi UFJ Financial Group [Coordinating Lead Arranger, Joint Bookrunner, Administrative Agent]",$1.9 MM,EdgeCore Digital Infrastructure,Infrastructure,Limited-recourse Senior Term Loan; Revolving Senior Secured L/C Facility; Uncommitted Accordion,"The financing includes a limited-recourse senior secured term loan, a revolving senior secured letter of credit facility, and an uncommitted accordion feature that will fund further development. MUFG acted as a coordinating lead arranger, joint bookrunner, and administrative agent on the transaction.",
1/25/2024,Wells Fargo Capital Finance [Lender],$50.0 MM,Targeted Lending,Lender Finance,Senior Credit Facility,Transaction details not disclosed.,NY
1/25/2024,SLR Digital Finance [Lender],$4.0 MM,Super League Enterprise,Gaming,Line of Credit,Transaction details not disclosed,CA
1/25/2024,Sallyport Commercial Finance [Lender],$2.0 MM,Undisclosed,Manufacturing,Finance Facility,Transaction details not disclosed.,
1/25/2024,Oxford Commercial Finance [Lender],$1.0 MM,Undisclosed,Textiles,Ledger Line of Credit,Transaction details not disclosed.,FL
1/25/2024,"Bank of America [Lead Lender]
U.S. Bank [Lender]
TD Bank [Lender]
Old National Bank [Lender]",$200.0 MM,Atwell,Engineering,Senior Credit Facility,Credit facility provides increased capacity to drive anticipated organic and acquisition growth. Transaction details not disclosed.,MI
1/26/2024,Huntington Business Credit [Lender],$10.0 MM,"American Nitrile Operations, LLC",Manufacturing,Credit Facility,Proceeds of the facility will be used to fund working capital and continued investment in glove production capacity.,OH
1/26/2024,First Citizens Bank [Lender],$36.2 MM,Anchor Health Properties,Real Estate,Acquisition Financing Facility,"Acquisition financing to Anchor Health Properties to recapitalize three medical office buildings located in Charlotte, North Carolina and Seattle, Washington. Anchor Health Properties acquired these assets directly for its own balance sheet.",
1/29/2024,"Gordon Brothers Group [Administrative Agent, Lender]",$12.0 MM,Kirkland's,Retail,"First-in last-out, Asset-based, Delayed-draw Term Loan Facility","aA supplemental credit facility on January 25, 2024, which will increase its available credit by up to $12 million. To support its strategic repositioning efforts, Kirkland's Home secured additional debt financing through a new first-in last-out, asset-based, delayed-draw term loan facility. The new facility is in addition to the Company's existing $90 million asset-based revolving credit facility. Proceeds from the new facility, when drawn, will be used to provide additional liquidity for ongoing working capital needs. As of closing, the Company's combined credit availability under both credit agreements was approximately $21.5 million. According to an SEC 8K filing, Gordon Brothers Group, via an affiliate entity (1903P Loan Agent LLC) is the administrative agent and lender for the the FILO Loan. Also on January 25, 2024, the Company entered into an amendment with Bank of America to its Existing Credit Facility to permit the FILO Loan.",
1/30/2024,EBSC Lending [Lender],$22.8 MM,Undisclosed,Real Estate,Senior Bridge Loan,The proceeds were used to refinance the existing loan,OH
1/30/2024,First National Capital Corporation [Lender],$35.0 MM,Undisclosed,Specialty Industries,Debt Refinance Facility,A cash flow-enhancing refinance facility secured by aged drilling rigs on short-term contracts.,
1/30/2024,"Wells Fargo Securities [Joint Lead Arranger, Joint Bookrunner]
Bank of America Securities [Joint Lead Arranger, Joint Bookrunner]
Citibank [Joint Lead Arranger, Syndication Agent, Joint Bookrunner]
Wells Fargo Bank [Administrative Agent]
Bank of America [Syndication Agent]
PNC Bank [Documentation Agent]
Regions Bank [Documentation Agent]
Mizuho Bank [Documentation Agent]
U.S. Bank [Documentation Agent]
Sumitomo Mitsui Banking Corporation [Documentation Agent]
Royal Bank of Canada [Documentation Agent]",$425.0 MM,Office Properties Income Trust,Real Estate,$325MM Revolving Credit Facility; $100MM Term Loan,"A second amended and restated secured credit agreement that governs its new $325 million secured revolving credit facility and $100 million secured term loan, or the Facilities. The maturity date of the Facilities is January 29, 2027. OPI has a one-year extension option for the $325 million secured revolving credit facility, subject to the payment of an extension fee and satisfaction of certain other customary conditions. Interest paid on the Facilities is at a rate of SOFR plus a margin of 3.50%. The Facilities are secured by 19 office properties with a gross carrying value of $942 million. The Facilities replace OPI’s previous $750 million unsecured revolving credit facility that was scheduled to mature on January 31, 2024. OPI currently has $232 million outstanding on the Facilities and $193 million available for borrowing.",MA
1/31/2024,"JPMorgan Chase Bank [Lead Lender]
CIBC [Participant]
HSBC Canada [Participant]
The Bank of Nova Scotia [Participant]
Bank of Montreal [Participant]
The Export Development Corporation [Participant]",$300.0 MM, ,Healthcare,Credit Facility,"Industry
            

                Healthcare",
1/31/2024,Lighthouse Financial Corp. [Lender],$6.5 MM,Undisclosed,Manufacturing,Credit Facility,Transaction details not disclosed.,OH
1/31/2024,Iron Horse Credit [Lender],$2.0 MM,Undisclosed,Trucking,Inventory Line of Credit,"A $2,00,000 RLOC to a truck, trailer, and hitch distributor.",
1/31/2024,DZ Bank AG [Lender],$135.0 MM,Blue Bridge Financial,Lender Finance,Revolving Credit Facility Extension,A one-year extension of its $135 million revolving credit facility with DZ BANK.,VA
2/1/2024,Second Avenue Capital Partners [Lender],$15.0 MM,Brixton,Apparel,Senior Secured Credit Facility,The credit facility will be instrumental in optimizing Brixton’s working capital and fueling its continued growth in the competitive fashion industry.,CA
2/1/2024,Flatbay Capital [Lender],$5.6 MM,American Battery Solutions,Battery Storage,Commercial Real Estate Loan,Facility to finance manufacturing plant.,MI
2/1/2024,Trinity Capital [Venture Lender],$15.0 MM,Kafene,Business Services,Venture Debt Facility,Transaction details not disclosed.,NY
2/1/2024,Cambridge Savings Bank [Lender],$0.5 MM,Melrose Affordable Housing Corporation,Real Estate,Commercial Mortgage Loan,Transaction details not disclosed.,MA
2/1/2024,Celtic Capital Corp [Lender],$3.1 MM,Undisclosed - Metal Parts Fabricator,Manufacturing,"$2,200,000 Accounts Receivable Line of Credit; $500,000 Inventory Line of Credit; $414,000 Equipment Loan","$2,200,000 Accounts Receivable Line of Credit, a $500,000 Inventory Line of Credit and a $414,000 Equipment Loan to assist with the purchase.",
2/2/2024,"Golub Capital [Administrative Agent, Sole Lead Arranger]",$2.1 B,Aptean,Technology,Unitranche Credit Facility,"The $2.11 billion unitranche facility is comprised of a $150 million revolving credit facility, $1.66 billion term loan and $300 million delayed draw term loan. Facility to refinance Aptean’s existing first lien and second lien broadly syndicated loan facilities.",GA
2/2/2024,"Huntington Business Credit [Lead Arranger, Administrative Agent]",$200.0 MM,"Daedong-USA, Inc.",Distribution,Credit Facilities,Proceeds of the facility were used to refinance existing debt and provide ongoing working capital financing.,NC
2/5/2024,"Toronto Dominion (Texas) [Administrative Agent, Collateral Agent]",$700.0 MM,NGL Energy Partners,Energy,Senior Secured Term Loan,$700 million term loan with a seven year term provided as part of the company's $2.9MM in refinancing.,OK
2/6/2024,Carlyle [Structuring Agent],$750.0 MM,The Parking Spot,Specialty Industries,Debt Financing Facility,The facility will support the refinancing of existing debt associated with a subset of The Parking Spot’s portfolio consisting of 28 near-airport parking facilities located across 18 major US airports in 13 states.,
2/6/2024,Aequum Capital [Lender],$21.6 MM,Undisclosed,Transportation,"Working Capital Revolver; Term Loan, Delayed Draw Term Loan","The credit facilities support ongoing working capital needs in the form of a working capital revolver, term loan, and a delayed draw term loan.",
2/6/2024,Culain Capital Funding [Factor],$3.5 MM,Undisclosed - Mechanical Services Company,HVAC,Accounts Receivable Factoring Facility,Transaction details not disclosed.,TX
2/6/2024,LSQ [Lender],$6.0 MM,Undisclosed - IT Services Provider,Technology,Accounts Receivable Credit Facility,Transaction details not disclosed.,PA
2/7/2024,Republic Business Credit [Lender],$12.5 MM,Undisclosed - Food Manufacturing Company,Food Production - Processing,$9MM Revolver; $3.5MM Real Estate Term Loan,A $9.0 million revolver and a $3.5 million real estate term loan,IL
2/7/2024,First Citizens Bank [Lender],$22.5 MM,Undisclosed,Healthcare,Financing Facility,"Financing for the development of a new outpatient surgery center in Orlando, Florida.",FL
2/7/2024,Aequum Capital [Lender],$5.0 MM,LandscapeHub,Technology,Revolving Credit Facility,"Industry
            

                Technology",
2/7/2024,"Morgan Stanley Senior Funding [Administrative Agent]
Citibank [Administrative Agent, Collateral Agent]",$540.0 MM,Magnite,Media,$365MM Senior Secured Term Loan; $175MM Senior Secured Revolver,"The facilities include a $365 million senior secured term loan facility and a $175 million senior secured revolving credit facility. The new term loan matures in February 2031with no springing maturity relating to the company’s convertible notes due in March 2026. The new revolver matures in February 2029. Magnite used proceeds from the new credit facilities to execute its plan to fully refinance the company’s existing senior secured $360 million term loan facility and $65 million revolving credit facility, and to pay fees and expenses associated with the transaction. As of Dec. 31, 2023, the outstanding principal amount of the existing term loan facility was $351 million, and the Company had $0 of outstanding borrowings under the existing revolving credit facility. The new term loan bears interest at term SOFR plus 4.5% (compared to adjusted term SOFR plus 5% under the previous term loan) and was issued with a 99% original issue discount. Loans under the new revolver will bear interest at term SOFR plus a margin ranging from 3.5% to 4% (compared to 4.25% to 4.75% under the previous revolver.",CA
2/7/2024,"KeyBank [Administrative Agent]
U.S. Bank [Participant]
Bank of America [Participant]
Bank of Oklahoma [Participant]
CIBC [Participant]
Commerce Bank, N.A. [Participant]
Comerica Bank [Participant]",$300.0 MM,DMC Global,Manufacturing,$200MM Revolving Credit Facility; $50MM Term Loan; $50MM Delayed-Draw Term Loan,"A five-year, $300 million senior secured credit facility consisting of a $200 million revolving credit facility, a $50 million term loan and a $50 million delayed-draw term loan. The facility replaces DMC’s prior $200 million credit facility.",CO
2/7/2024,First Business Specialty Finance [Lender],$8.0 MM,Undisclosed - Snack Food Manufacturer,Food Manufacturing,Revolving Line of Credit; Equipment Term Loan; Equipment CapEx Loan,"$8,000,000 revolving line of credit, equipment term loan, and equipment CapEx loan to a healthy snack food manufacturer in Wisconsin for restructuring.",WI
2/8/2024,Iron Horse Credit [Lender],$1.0 MM,Undisclosed - Wholesaler of Men's Shoes,Apparel,Inventory Line of Credit,Transaction details not disclosed.,
